id,username,email,phone,address,cpf
101,Caio,caiobarreto@gmail.com,1234567891,"123 Main St, city, Country",03576300201
54,Davi_Costa,arthur81@example.com,(021) 8569-1559,Via Nathan Rocha\nNova Cachoeirinha\n17991938 Sales de Costa,815.607.942-67
105,João,joao@gmail.com,71982050825,"123 Main St, city, Country",03576300802
20,Laele,Caiobarreto00@gmail.com,12345678901,"123 Main St, city, Country",003.456.789-00
102,MAria,maria@gmail.com,1234567891,"123 Main St, city, Country",03576300201
103,Mario,mario@hotmail.com,12345678901,"123 Main St, city, Country",003.456.789-00
104,Mria,mari@gmail.com,1234567891,"123 Main St, city, Country",03576300201
19,Squad2,squad2ijj@ijj.com,12345678901,"123 Main St, City, Country",123.456.789-00
111,Vitoria,vitoria@hotmail.com,12345678901,"123 Main St, city, Country",003.456.789-00
12,ada-cunha,davi-lucasoliveira@ig.com.br,51 0649 6738,"Sítio Montenegro, 30
Estrela
55465458 Moura Alegre / PB",415.609.738-20
208,agatha36,fernandesana-beatriz@example.net,(084) 6876 7560,"Quadra Cecilia Cunha, 69
Aparecida
94397-612 Costa / AC",694.208.315-15
21,alexia66,ribeiroana-cecilia@example.com,31 2356-8072,"Área Gonçalves, 170
Ouro Preto
40264-970 Vasconcelos dos Dourados / AM",893.654.721-64
126,alice85,carolina29@example.org,+55 (081) 3542-9754,"Alameda Maya Ramos, 7, Martins, RS",285.391.740-14
263,almeidaesther,henry89@example.org,(061) 4605-3391,Núcleo de Martins - Vila Bandeirantes - 24385-032 Caldeira / MS,018.634.752-90
243,alvesmariana,hda-costa@bol.com.br,+55 81 7525 76,"Vale de Moura, 3
Ernesto Nascimento
57277-280 Aparecida / SP",792.543.061-34
116,amoreira,lavinia85@example.org,41 7039 8974,"Parque Siqueira, 78
Dom Bosco
98863-963 Moura do Galho / AP",298.704.156-01
225,ana-beatriz26,dantemarques@example.com,+55 41 1023 5456,"Trecho Fogaça, 4 - Vila Madre Gertrudes 2ª Seção - 55814050 Machado de Martins / AL",649.018.237-87
31,ana-beatrizcunha,heloisa49@example.com,+55 (081) 0260-2210,"Morro de da Mata, 33
Ipe
27489-085 Moraes do Galho / PB",107.285.496-11
50,ana-cecilia78,arthurda-rocha@example.com,+55 11 9553-9959,"Núcleo Farias, 654
Alto Caiçaras
96790730 da Conceição do Sul / AP",378.246.015-44
210,ana-laurasales,mariah50@example.com,0300-710-0083,"Núcleo Dom Macedo, 93
São Pedro
48748-940 Caldeira do Sul / ES",936.708.521-40
26,ana-lizbrito,mailijj@ijj.com,81 3048-2047,"Avenida de Silveira
Alto Vera Cruz
04663-501 Cassiano do Sul / SC",317.804.265-26
190,andradenathan,igor33@example.com,51 7849 4828,"Largo Maria Helena Almeida, 8 - Santa Amelia - 22775-325 Viana / PA",413.257.089-41
214,andrearaujo,albuquerquelorenzo@example.com,31 4108 7406,"Alameda de Costela, 769
Vila São Paulo
45765796 Silva da Serra / AL",926.147.085-85
88,anthony-gabrielpacheco,ana-beatriz96@example.com,21 6830-9167,"Rua de Cirino, 29
Pantanal
11811363 Azevedo / ES",319.602.857-77
158,arthur-gabriel41,ycostela@example.com,84 1374-0680,Feira de Sampaio - Parque São Pedro - 23484-991 Fernandes Grande / AP,726.018.543-08
165,arthur32,valentimda-paz@example.net,+55 (041) 8207-9384,"Rodovia de Costa, 14
Confisco
69225078 Ramos de Fonseca / SP",359.671.208-40
246,ayla04,ana-claragarcia@ig.com.br,+55 (021) 7498,"Residencial Pedro Henrique Cassiano, 47
Vila Nova Gameleira 2ª Seção
67690561 Casa Grande do Sul / AM",015.482.637-53
7,ayllasa,gustavo-henriquemoreira@example.net,0300-111-5762,"Estação de Fogaça, 721
Leonina
54298825 Nascimento de Minas / SE",216.597.348-19
144,azevedohadassa,cavalcantiotavio@example.net,+55 (011) 6056 7599,"Sítio Bianca Araújo, 988 - Conjunto Capitão Eduardo - 07096-431 Pereira do Norte / PR",518.672.039-95
14,bcamara,nunesmaria-fernanda@ig.com.br,(084) 4813 548,"Quadra de Moura, 530
Apolonia
56760-743 Pinto do Oeste / DF",018.269.734-78
142,benicio09,larissamontenegro@example.net,84 8641-8906,"Vila Arthur Miguel da Mota, 24 - Vila Aeroporto - 45724857 Câmara / ES",947.056.183-00
75,benjamimcaldeira,mendesmariane@example.org,11 2443 1238,"Recanto Novaes, 103
Cidade Nova
56590088 Duarte Grande / SE",157.430.682-08
238,benjamimcavalcante,dborges@example.com,71 2752 1100,"Trecho Machado, 3 - Jardim Atlântico - 74919-652 Santos / GO",187.056.432-44
68,benjamin50,teixeiralavinia@example.org,+55 (084) 0382 0119,"Travessa Guerra, 49
Vila Piratininga Venda Nova
15222155 Araújo de Aragão / CE",965.081.472-85
159,benjamingoncalves,martinsluiz-otavio@example.com,+55 (051) 8196-3707,"Condomínio Camargo, 91 - Novo Glória - 25995-383 Pires / RO",821.073.549-79
92,bernardofarias,coliveira@example.com,0800-118-0564,"Esplanada Jesus, 90
Novo Glória
41603696 Sousa Verde / DF",152.890.674-85
249,bmonteiro,silvayasmin@yahoo.com.br,51 0274 5797,"Avenida Yan Almeida, 16
Lagoinha
00822-460 Aragão do Oeste / RR",531.206.784-90
206,brayan69,bruna70@example.org,(031) 1940 0369,"Lagoa Maria Cecília Teixeira, 235
Aeroporto
93568-227 Rezende / DF",246.015.973-07
73,breno09,caleb30@example.org,+55 (021) 8886-4338,"Feira Mendonça, 78
Mineirão
78474-232 Teixeira / SE",810.954.726-58
85,breno88,eduardacassiano@example.org,+55 61 1552 9881,"Feira de Melo, 148
Diamante
95295101 Rocha / MT",473.105.268-80
152,britocatarina,rribeiro@example.org,+55 (23) 9 1967-5111,"Sítio de Cassiano, 70
Vila Antena Montanhês
01045-099 Viana Alegre / AL",714.560.392-61
220,bsa,levi57@example.org,(011) 5662-7283,"Praça Silva, 206
Camponesa 1ª Seção
07595-815 Machado / RS",140.925.387-23
172,bsantos,babreu@hotmail.com,+55 (051) 7972,"Quadra de Ribeiro, 21
Vila Aeroporto
17503-766 Machado de Goiás / AP",871.594.326-73
151,bsilva,eduardacassiano@example.net,81 5637 4232,"Loteamento Theo da Mata, 21
Vila São Paulo
86300-658 da Paz / SP",804.921.675-67
217,caldeiraarthur-miguel,dantefarias@example.net,41 9024 0930,"Viela de Pastor, 75
Sagrada Família
01534393 Sampaio de Pastor / AC",018.629.753-02
